SampleID,SubsampleID,Morphology,Percentage
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.1_10.1016/j.impact.2021.100302,fragments,N/A
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.1_10.1016/j.impact.2021.100302,spherical,N/A
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.1_10.1016/j.impact.2021.100302,fibres,N/A
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.2_10.1016/j.impact.2021.100302,fragments,N/A
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.2_10.1016/j.impact.2021.100302,spherical,N/A
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.2_10.1016/j.impact.2021.100302,fibres,N/A
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.3_10.1016/j.impact.2021.100302,fragments,N/A
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.3_10.1016/j.impact.2021.100302,spherical,N/A
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.3_10.1016/j.impact.2021.100302,fibres,N/A
TapWater_10.1016/j.impact.2021.100302,N/A,sphere,N/A
TapWater_10.1016/j.impact.2021.100302,N/A,fibers,N/A
TapWater_10.1016/j.impact.2021.100302,N/A,fragment,N/A
RawWater_10.1016/j.impact.2021.100302,N/A,sphere,N/A
RawWater_10.1016/j.impact.2021.100302,N/A,fibers,N/A
RawWater_10.1016/j.impact.2021.100302,N/A,fragment,N/A
TreatedDrinkingWater2_10.1016/j.impact.2021.100302,N/A,sphere,N/A
TreatedDrinkingWater2_10.1016/j.impact.2021.100302,N/A,fibers,N/A
TreatedDrinkingWater2_10.1016/j.impact.2021.100302,N/A,fragment,N/A
MineralWaterPET_10.1016/j.impact.2021.100302,N/A,sphere,N/A
Sarkar_10.1007/s11783-021-1492-5,N/A,fibers,N/A
Sarkar_10.1007/s11783-021-1492-5,N/A,films/fragments,N/A
Dalmau-Soler_10.1007/s11783-021-1492-5,N/A,fragments,N/A
Dalmau-Soler_10.1007/s11783-021-1492-5,N/A,fibers,N/A
drinking_water.10.3390/w12113115,N/A,fibers,80.2%
drinking_water.10.3390/w12113115,N/A,pellets,19.1%
drinking_water.10.3390/w12113115,N/A,films,0.7%
Kankanige1.10.1016/j.cotox.2021.09.003,N/A,fibres,N/A
Kankanige1.10.1016/j.cotox.2021.09.003,N/A,fragments,N/A
Kankanige2.10.1016/j.cotox.2021.09.003,N/A,fibres,N/A
Kankanige2.10.1016/j.cotox.2021.09.003,N/A,fragments,N/A
Pivokonsky1.10.1016/j.cotox.2021.09.003,N/A,fibers,N/A
Pivokonsky1.10.1016/j.cotox.2021.09.003,N/A,fragments,N/A
Pivokonsky1.10.1016/j.cotox.2021.09.003,N/A,spheres,N/A
Pivokonsky2.10.1016/j.cotox.2021.09.003,N/A,fibers,N/A
Pivokonsky2.10.1016/j.cotox.2021.09.003,N/A,fragments,N/A
Pivokonsky2.10.1016/j.cotox.2021.09.003,N/A,spheres,N/A
Kankanige3.10.1016/j.cotox.2021.09.003,Kankanige3.1.10.1016/j.cotox.2021.09.003,fibers,N/A
Kankanige3.10.1016/j.cotox.2021.09.003,Kankanige3.1.10.1016/j.cotox.2021.09.003,fragments,N/A
Kankanige3.10.1016/j.cotox.2021.09.003,Kankanige3.2.10.1016/j.cotox.2021.09.003,fibers,N/A
Kankanige3.10.1016/j.cotox.2021.09.003,Kankanige3.2.10.1016/j.cotox.2021.09.003,fragments,N/A
Pivokonsky3.10.1016/j.cotox.2021.09.003,Kankanige3.3.10.1016/j.cotox.2021.09.003,fibers,N/A
Kankanige3.10.1016/j.cotox.2021.09.004,Kankanige3.3.10.1016/j.cotox.2021.09.003,fragments,N/A
Pivokonsky3.10.1016/j.cotox.2021.09.004,Kankanige3.4.10.1016/j.cotox.2021.09.003,fibers,N/A
Kankanige3.10.1016/j.cotox.2021.09.005,Kankanige3.4.10.1016/j.cotox.2021.09.003,fragments,N/A
10.1016/j.chemosphere.2020.126493,1.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,2.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,2.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,2.10.1016/j.chemosphere.2020.126493,sphere,N/A
10.1016/j.chemosphere.2020.126493,3.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,3.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,3.10.1016/j.chemosphere.2020.126493,sphere,N/A
10.1016/j.chemosphere.2020.126493,4.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,4.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,5.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,5.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,6.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,6.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,7.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,7.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,8.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,8.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,9.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,9.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,10.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,10.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,11.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,11.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,12.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,13.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,13.10.1016/j.chemosphere.2020.126493,fiber,N/A
